genre;game_id
Adventure;111130
Indie;111130
Simulator;38967
Indie;38967
Role-playing (RPG);102584
Adventure;102584
Sport;114286
Adventure;55984
Role-playing (RPG);96217
Adventure;96217
Indie;96217
Shooter;19561
Adventure;19561
Shooter;105049
Role-playing (RPG);105049
Adventure;105049
Role-playing (RPG);54842
Adventure;54842
Role-playing (RPG);36198
Adventure;36198
Indie;36198
Role-playing (RPG);13196
Strategy;13196
Turn-based strategy (TBS);13196
Tactical;13196
Role-playing (RPG);106987
Adventure;106987
Role-playing (RPG);115653
Adventure;115653
Puzzle;106992
Adventure;106992
Indie;106992
Real Time Strategy (RTS);55029
Strategy;55029
Strategy;119156
Shooter;113114
Role-playing (RPG);113114
Role-playing (RPG);55199
Adventure;55199
Racing;78511
Shooter;107318
Simulator;107318
Adventure;107318
Shooter;103301
Racing;120268
Arcade;120268
Shooter;19164
Role-playing (RPG);103303
Role-playing (RPG);26845
Turn-based strategy (TBS);26845
Tactical;26845
Adventure;26845
Simulator;44242
Sport;114287
Platform;55190
Puzzle;55190
Adventure;55190
Indie;55190
Role-playing (RPG);10032
Adventure;10032
Indie;10032
Strategy;114455
Adventure;114455
Indie;114455
